Date,Sensex_Return,Brazil_Returm,Crude_Return,DAX_Return,Dow_Jones_Return,Euro.INR_Return,Euro_Stoxx_Return,FTSE_Return,Gold_Return,VIX_Return,Jpn.INR_Return,NASDAQ_Return,Nifty_Return,S.P_Return,Usd.INR_Return,Movement,China_Return,Singapore_Return,Hong_Kong_Return,Nikkei_Return,Philippines_Return,Australia_Return,Shangai_Return,KOSPI_Return
06/04/2016,-0.020317603,0.005609472,0.005322129,-0.026340653,-0.007536788,0.004069953,-0.024281972,-0.01192106,0.013238008,0.021776504,0.013640957,-0.009785764,-0.020054648,-0.01014457,0.004689154,0,0.004999979,-0.004134437,-0.010430359,-0.019728588,-0.006385584,-0.014193342,0.012929282,-0.004669486
07/04/2016,0.000684789,-0.01951701,0.051825021,0.006394196,0.006403906,0.002757408,0.006577058,0.0115576,-0.005015905,-0.027201346,0.006479482,0.01585283,0.001466488,0.010507684,0.001505571,1,-0.004896804,0.006745459,0.009841791,0.000735009,-0.002591692,0.004366014,0.006118944,0.007936144
08/04/2016,-0.008642753,0.008667206,-0.012980132,-0.009755302,-0.009826683,0.001661765,-0.012989111,-0.004015171,0.014584587,-0.023637936,0.018322879,-0.014703133,-0.008917373,-0.011975845,0.003607937,1,-0.01204601,-0.010011356,-0.011637703,-0.009036003,0.001807239,0.003032815,-0.02293401,-0.008823752
11/04/2016,-0.000469103,0.036687616,0.066022544,0.009615324,0.001995216,-0.000934838,0.014072441,0.011002316,-0.002093496,-0.029672276,-0.001621008,0.000478511,0.001159486,0.002786607,-0.003145596,0,-0.005921959,0.002785356,0.009682179,0.010548796,0.00479814,-0.004696728,0.006261294,0.005588159
12/04/2016,0.014116976,-0.002534352,0.01611279,0.006311407,-0.001169144,-0.003393606,0.00420676,-0.000691444,0.011048471,-0.025559105,-0.002922552,-0.003564441,0.015380136,-0.002739793,-0.003906837,1,0.009963167,0.004779506,0.009127244,-0.002685646,0.005944559,-0.001235418,0.008111317,-0.000887311
13/04/2016,0.004932828,0.036606654,0.044846383,0.008104935,0.009389163,-0.001996813,0.006107591,0.00681761,-8.16E-05,0.00078064,-0.005699397,0.008004717,0.004894804,0.009662143,-0.000150852,0,-0.001890308,0.009766146,0.014609074,0.026939598,0.003961552,0.008942512,0.003318708,-0.000887311
18/04/2016,0.019134966,0.022075749,-0.009722552,0.027109646,0.010553996,-0.006645069,0.033003749,0.019303504,-0.004738018,0.000624025,-0.004094333,0.015461537,0.018355288,0.010040161,0.003319252,0,0.002086062,-0.005467291,-0.011460772,-0.011910009,-0.006419113,0.00761942,-0.008612558,-0.005975027
20/04/2016,0.007398909,-0.006268536,-0.014370664,0.006838733,0.00596174,-0.000924042,0.003172535,0.001540099,0.005111891,0.056906766,-0.004242128,0.004414546,0.008184244,0.006540974,-0.00360036,1,0.002053424,0.008411764,0.000685228,0.028413415,-0.004455677,0.010064044,0.001066577,0.000967694
21/04/2016,0.001077611,-0.001473095,0.037731256,0.006927811,0.002363518,-0.00512428,0.009486057,0.000766547,-0.007802224,0.007523234,-0.005612413,0.001578842,6.32E-06,0.000761615,0.000302343,0,-0.005176368,-0.0009949,-0.002163818,0.007824635,3.47E-05,0.00524206,-0.031474767,-0.001214645
22/04/2016,0.001400702,-0.001473095,0.012901712,0.001385625,-0.006285826,0.004093782,0.00291804,-0.004495917,6.39E-05,-0.032942899,0.008466135,-0.000452696,-0.000341135,-0.005194064,0.004836028,0,-0.000960722,-0.005267383,0.001950351,0.001931662,0.005634537,0.010870399,-0.007223198,0.000163804
25/04/2016,-0.001632124,-0.013481959,0.012737378,-0.005964125,0.001180591,-0.002278375,-0.003353756,-0.011126015,-0.002254347,-0.008024224,-0.018436214,-0.008018779,-0.001611466,4.78E-05,0.002556775,1,0.005640682,-0.002032977,-0.001845847,0.022826903,0.000929232,0.010870399,0.005775597,0.000555851
26/04/2016,-0.006161821,-0.019773425,-0.02492568,-0.007629062,-0.001472471,0.003445398,-0.007481408,-0.007847313,-0.001402328,0.011752137,0.005533199,-0.002127907,-0.005601762,-0.001812027,0.000450045,0,-0.00364163,-0.014409969,-0.001333112,-0.014477482,-0.001984838,-0.006884518,-0.001779679,-0.001383894
27/04/2016,0.012787527,0.023539332,0.032833021,-0.003376609,0.000727587,-0.001517158,0.00117718,0.003769414,6.05E-06,0.000452557,-0.005336001,-0.001533971,0.013698194,0.001872794,-0.004348478,0,0.003204702,0.000702816,-0.000359682,0.000640606,-0.007392042,-0.00301734,0.007630607,0.003005076
28/04/2016,0.002184771,0.026285122,0.029291553,0.003922184,0.002847643,0.00140617,0.002928276,0.005631297,0.003532512,-0.013721351,-0.001844091,-0.005142913,0.002166364,0.001649376,-0.00060241,1,-0.004172912,0.000844171,0.005457056,0.003990287,0.001099822,-0.006301958,-0.00385887,0.000752732
